10:40:53,#,On System
10:41:02,#,On System
Time, Class, Data
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:02,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:03,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:04,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:05,#,On System
10:41:06,#,On System
10:41:08,#,On System
10:41:50,#,On System
10:41:52,#,On System
Time, Class, Data
10:41:52,#,On System
10:41:52,#,On System
10:41:52,#,On System
10:41:52,#,On System
10:41:52,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:53,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:54,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:55,#,On System
10:41:56,#,On System
10:41:56,#,On System
10:41:56,#,On System
10:41:56,#,On System
10:41:56,#,On System
10:48:24,#,On System
10:48:27,#,On System
Time, Class, Data
10:48:27,#,On System
10:48:27,#,On System
10:48:27,#,On System
10:48:27,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:28,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:29,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
10:48:30,#,On System
